card_id,card_name,mana_cost,strength,health,duration ,starting_power,card_text,violet,red,keywords,card_type,
1,Investment,2,,,,,Increase your mana cap by one.,TRUE,FALSE,,spell,
2,Ponder,0,,,,,"Look at the top three cards of any deck, then put them back in the order they were, or shuffle them back into the deck.",FALSE,FALSE,,spell,
3,Shadow Government,2,,,,,"Look at the top four cards of any deck, you may discard one, then put them back in any order you want.",FALSE,FALSE,,spell,
4,Pipe Bomb,0,,,,,"Upon drawing or burning this card it is immediately played.
The person who played this card takes 4 damage and burns 1. ",FALSE,FALSE,,spell,
5,Pot of Greed,3,,,,,"Draw two cards.
You may roll your dice.",FALSE,TRUE,,spell,
6,Repetition,X,,,,,"X = The cost of the top card of the discard pile plus one.
Play the top card of the discard pile.",FALSE,TRUE,,spell,
7,Nuke,5,,,,,Destroy all creatures. All of them. Even yours.,FALSE,TRUE,,spell,
8,Lightning,1,,,,,Deal 1 damage to a target of your choice.,FALSE,FALSE,,spell,
9,Fire Blast,2,,,,,Deal 2 damage to a target of your choice.,TRUE,TRUE,,spell,
10,Stoning,3,,,,,Deal 4 damage to a target of your choice.,FALSE,TRUE,,spell,
11,Divine Smite,4,,,,,Deal 5 damage to a target of your choice,FALSE,FALSE,,spell,
12,Cappy,4,,,,,Chose an opponent's creature. For one combat you control that creature instead.,FALSE,FALSE,,spell,
13,Vanilla Ice,1,,,,,Freeze a creature.,TRUE,TRUE,,spell,
14,Nuh uh,2,,,,,Play this to cancel the effects of any one spell your opponent plays. They still pay the mana cost.,FALSE,FALSE,,spell,
15,Racial Slur,1,,,,,"As long as this card is attached to a creature that creature must attack every turn if able.
It can not use it's tapped abilities.",FALSE,FALSE,,attachment ,
16,Gang War,1,,,,,"Recyclable
Whenever this creature attacks flip a coin. If heads it temporarily gains two strength, if tails it temporarily loses one strength.",FALSE,TRUE,Recyclable,attachment ,
17,Fukouna Shoujo 03,2,,,,,"Choose one creature, you may discard as many attachments as you want from that creature.",FALSE,TRUE,,spell,
18,Explosion,4,,,,,Destroy a creature of your choice.,TRUE,FALSE,,spell,
19,Congratulations,15,,,,,"As an additional cost to play this card pay 15 mana cap.
You win. Good job… I guess.",FALSE,FALSE,,spell,
20,Virginity Shield,3,,,,,"Recyclable
This creature gains Hexproof.",FALSE,FALSE,Recyclable,attachment ,
21,UOOOH!!!,3,,,,,Kill all creatures that cost 2 mana or less. Even your own.,FALSE,FALSE,,spell,
22,Alt Account,5,,,,,"Recyclable
When this creature would parish for any reason, you may discard this card and resurrect the creature it's attached to.",FALSE,FALSE,Recyclable,attachment ,
23,Options,4,,,,,"Look at the top three cards of your deck. You may play one whose cost is equal to or less than your current mana cap immediately for free, shuffle the other two back into the pile.",FALSE,TRUE,,spell,
24,Nerd Emoji,1,,,,,Play this to cancel the effects of any one spell your opponent plays. They are refunded the full mana cost.,FALSE,FALSE,,spell,
25,Vent,1,,,,,Bounce a creature you control.,FALSE,TRUE,,spell,
26,A.I. Core,5,0,3,,,While A.I. Core is alive all your spells cost 1 less mana. Minimum cost of zero.,FALSE,TRUE,,creature,
27,Pipkin Pippa,2,3,1,,,"Hates carrots.
You may bounce this bunny whenever.",FALSE,FALSE,,creature,
